client_ID,client_NM,client_REGION
MW80,MW80 Funds Limited,APAC
P2PJ,P2PJ Funds Limited,AMER
G1AZ,G1AZ Funds Limited,EMEA
KJ7V,KJ7V Funds Limited,EMEA
A5IP,A5IP Funds Limited,APAC
HGE4,HGE4 Funds Limited,APAC
L4VY,L4VY Funds Limited,EMEA
5KH0,5KH0 Funds Limited,APAC
2V4N,2V4N Funds Limited,AMER
LVWN,LVWN Funds Limited,AMER
4KU6,4KU6 Funds Limited,APAC
VK3P,VK3P Funds Limited,APAC
0ECQ,0ECQ Funds Limited,APAC
VLM2,VLM2 Funds Limited,APAC
0YMW,0YMW Funds Limited,EMEA
BHGK,BHGK Funds Limited,AMER
4GE1,4GE1 Funds Limited,EMEA
KJ5M,KJ5M Funds Limited,APAC
FQHX,FQHX Funds Limited,EMEA
XW8H,XW8H Funds Limited,APAC
ZG9D,ZG9D Funds Limited,EMEA
32ZL,32ZL Funds Limited,AMER
S6NW,S6NW Funds Limited,APAC
FC8O,FC8O Funds Limited,EMEA
1V2O,1V2O Funds Limited,APAC
Q9OY,Q9OY Funds Limited,APAC
YLWE,YLWE Funds Limited,AMER
YQ2X,YQ2X Funds Limited,AMER
UQ7L,UQ7L Funds Limited,AMER
Y8W3,Y8W3 Funds Limited,AMER
A4AX,A4AX Funds Limited,AMER
JW06,JW06 Funds Limited,EMEA
TVCZ,TVCZ Funds Limited,EMEA
FBZW,FBZW Funds Limited,APAC
ZNR9,ZNR9 Funds Limited,EMEA
FACA,FACA Funds Limited,AMER
2X7S,2X7S Funds Limited,EMEA
ZD21,ZD21 Funds Limited,APAC
8EMS,8EMS Funds Limited,AMER
WKAT,WKAT Funds Limited,EMEA
RLQT,RLQT Funds Limited,EMEA
8UAE,8UAE Funds Limited,AMER
Y1CY,Y1CY Funds Limited,AMER
LTKO,LTKO Funds Limited,APAC
ZVLC,ZVLC Funds Limited,EMEA
3Y6V,3Y6V Funds Limited,EMEA
925Z,925Z Funds Limited,APAC
6QNZ,6QNZ Funds Limited,AMER
A9PC,A9PC Funds Limited,APAC
5JJE,5JJE Funds Limited,APAC
ZOYE,ZOYE Funds Limited,APAC
JT9F,JT9F Funds Limited,EMEA
5ANX,5ANX Funds Limited,APAC
OVT9,OVT9 Funds Limited,EMEA
UKXX,UKXX Funds Limited,EMEA
IKBR,IKBR Funds Limited,EMEA
55FB,55FB Funds Limited,EMEA
079P,079P Funds Limited,AMER
DD2O,DD2O Funds Limited,EMEA
ZW7Q,ZW7Q Funds Limited,AMER
DCX8,DCX8 Funds Limited,APAC
SPUU,SPUU Funds Limited,EMEA
8XSG,8XSG Funds Limited,EMEA
JVKC,JVKC Funds Limited,EMEA
LAC7,LAC7 Funds Limited,AMER
336E,336E Funds Limited,APAC
B0YX,B0YX Funds Limited,APAC
WA6Q,WA6Q Funds Limited,EMEA
ZL1B,ZL1B Funds Limited,AMER
CMCD,CMCD Funds Limited,APAC
2KNF,2KNF Funds Limited,EMEA
P7OH,P7OH Funds Limited,EMEA
WSDL,WSDL Funds Limited,EMEA
TT6W,TT6W Funds Limited,AMER
WBRX,WBRX Funds Limited,EMEA
CCXW,CCXW Funds Limited,EMEA
BIP4,BIP4 Funds Limited,APAC
QYVT,QYVT Funds Limited,AMER
OX0G,OX0G Funds Limited,APAC
4TYI,4TYI Funds Limited,EMEA
DV2W,DV2W Funds Limited,AMER
A2BX,A2BX Funds Limited,AMER
5R06,5R06 Funds Limited,AMER
BHMS,BHMS Funds Limited,AMER
0FEQ,0FEQ Funds Limited,EMEA
A3LH,A3LH Funds Limited,AMER
Q61I,Q61I Funds Limited,EMEA
0ZY2,0ZY2 Funds Limited,AMER
3O84,3O84 Funds Limited,EMEA
2CS7,2CS7 Funds Limited,AMER
L325,L325 Funds Limited,AMER
YCH8,YCH8 Funds Limited,EMEA
EGUK,EGUK Funds Limited,APAC
N151,N151 Funds Limited,APAC
DVS0,DVS0 Funds Limited,AMER
42LO,42LO Funds Limited,AMER
R28X,R28X Funds Limited,AMER
TOQL,TOQL Funds Limited,EMEA
AEAM,AEAM Funds Limited,AMER
LKUS,LKUS Funds Limited,AMER
LECE,LECE Funds Limited,EMEA
ZD3Z,ZD3Z Funds Limited,APAC
GGPY,GGPY Funds Limited,EMEA
HZOM,HZOM Funds Limited,AMER
ANLB,ANLB Funds Limited,AMER
34NP,34NP Funds Limited,EMEA
KZ0L,KZ0L Funds Limited,EMEA
YKUH,YKUH Funds Limited,AMER
4XG1,4XG1 Funds Limited,AMER
S9X8,S9X8 Funds Limited,APAC
T73Z,T73Z Funds Limited,APAC
XGQG,XGQG Funds Limited,APAC
IV11,IV11 Funds Limited,APAC
74O7,74O7 Funds Limited,EMEA
VODH,VODH Funds Limited,APAC
DYR0,DYR0 Funds Limited,AMER
IGAR,IGAR Funds Limited,APAC
4O6B,4O6B Funds Limited,APAC
O218,O218 Funds Limited,AMER
XUQB,XUQB Funds Limited,APAC
4T5T,4T5T Funds Limited,AMER
NPMP,NPMP Funds Limited,EMEA
JA8B,JA8B Funds Limited,APAC
UX9T,UX9T Funds Limited,EMEA
C4GV,C4GV Funds Limited,APAC
A0XB,A0XB Funds Limited,EMEA
CB3E,CB3E Funds Limited,AMER
V4UW,V4UW Funds Limited,APAC
4VVQ,4VVQ Funds Limited,APAC
MRJI,MRJI Funds Limited,APAC
TCAW,TCAW Funds Limited,AMER
M321,M321 Funds Limited,AMER
612P,612P Funds Limited,APAC
K4QV,K4QV Funds Limited,EMEA
2YPR,2YPR Funds Limited,AMER
DRDA,DRDA Funds Limited,EMEA
Y1GT,Y1GT Funds Limited,EMEA
5ZE7,5ZE7 Funds Limited,AMER
QKIK,QKIK Funds Limited,EMEA
97IC,97IC Funds Limited,APAC
ITWP,ITWP Funds Limited,EMEA
EBNR,EBNR Funds Limited,AMER
IXSS,IXSS Funds Limited,APAC
W5TX,W5TX Funds Limited,APAC
7RC4,7RC4 Funds Limited,APAC
BJ69,BJ69 Funds Limited,APAC
N4AT,N4AT Funds Limited,AMER
WSWK,WSWK Funds Limited,APAC
LHZN,LHZN Funds Limited,APAC
CQHI,CQHI Funds Limited,AMER
6GIV,6GIV Funds Limited,EMEA
IUBS,IUBS Funds Limited,APAC
Y8A5,Y8A5 Funds Limited,AMER
B7YU,B7YU Funds Limited,EMEA
YMGX,YMGX Funds Limited,APAC
H007,H007 Funds Limited,EMEA
VL7B,VL7B Funds Limited,APAC
VZI2,VZI2 Funds Limited,EMEA
1JNK,1JNK Funds Limited,EMEA
0O06,0O06 Funds Limited,AMER
64DU,64DU Funds Limited,EMEA
TXEK,TXEK Funds Limited,AMER
4LIO,4LIO Funds Limited,APAC
VEKH,VEKH Funds Limited,AMER
QRYD,QRYD Funds Limited,EMEA
A9XP,A9XP Funds Limited,AMER
HXA6,HXA6 Funds Limited,APAC
Q5CO,Q5CO Funds Limited,APAC
B6HT,B6HT Funds Limited,APAC
CXVA,CXVA Funds Limited,EMEA
EHMY,EHMY Funds Limited,AMER
BKIZ,BKIZ Funds Limited,EMEA
YND9,YND9 Funds Limited,EMEA
U4XH,U4XH Funds Limited,AMER
DI4E,DI4E Funds Limited,AMER
16KX,16KX Funds Limited,EMEA
V2VP,V2VP Funds Limited,APAC
QAHO,QAHO Funds Limited,EMEA
TCPE,TCPE Funds Limited,EMEA
3TMB,3TMB Funds Limited,EMEA
A8C1,A8C1 Funds Limited,EMEA
P8NJ,P8NJ Funds Limited,AMER
7FNR,7FNR Funds Limited,APAC
HU4Q,HU4Q Funds Limited,APAC
L4RJ,L4RJ Funds Limited,AMER
UAYT,UAYT Funds Limited,APAC
T6Z4,T6Z4 Funds Limited,APAC
7IE7,7IE7 Funds Limited,EMEA
S3EK,S3EK Funds Limited,APAC
B40X,B40X Funds Limited,EMEA
PT5O,PT5O Funds Limited,APAC
3AY9,3AY9 Funds Limited,AMER
FUL8,FUL8 Funds Limited,AMER
JY8I,JY8I Funds Limited,AMER
AYZB,AYZB Funds Limited,EMEA
XBEQ,XBEQ Funds Limited,AMER
G3E6,G3E6 Funds Limited,APAC
S5S3,S5S3 Funds Limited,EMEA
HSDG,HSDG Funds Limited,AMER
JPJP,JPJP Funds Limited,AMER
NJRH,NJRH Funds Limited,AMER
YSUQ,YSUQ Funds Limited,APAC
ZV3Y,ZV3Y Funds Limited,AMER
LIH3,LIH3 Funds Limited,AMER
ZZW4,ZZW4 Funds Limited,AMER
GJKB,GJKB Funds Limited,APAC
