calendar_DT,trade_ID,security_ID,client_ID,shares_QTY,amount
19-Oct-22,1001,QXFDZEY8R,494X,490,36656.9
19-Oct-22,1002,UWRDKXX3U,SO5A,210,35908.8
19-Oct-22,1003,7IU6JYT0J,04KD,170,13839.85
19-Oct-22,1004,R36NS36DP,EXIC,210,29549.95
19-Oct-22,1005,6NQMQB3F9,A5QZ,150,1870.25
19-Oct-22,1006,TEFG045P1,O3I9,5,14587.95
19-Oct-22,1007,NU4XAJH6P,IFH7,90,9725.3
19-Oct-22,1008,EVL9ILR3P,C3XW,355,29549.95
19-Oct-22,1009,0WGNLY7BX,S7SC,90,16458.2
19-Oct-22,1010,FC0LDYFQP,2D9Q,360,14587.95
19-Oct-22,1011,WM65QUR53,I8YI,380,14587.95
19-Oct-22,1012,66E7NET9G,BHLG,240,18971.4
19-Oct-22,1013,KOAS2MK0O,DDMR,170,12647.6
19-Oct-22,1014,PYGK3IP4E,EOLN,5,10840.8
19-Oct-22,1015,6H1DQT8MD,1QCV,185,41104.7
19-Oct-22,1016,R7AYSGK53,1305,40,20778.2
19-Oct-22,1017,R8Z8RD1BO,8GDD,185,37942.8
19-Oct-22,1018,QAXX57V9L,0QO8,325,28457.1
19-Oct-22,1019,NOSVTQOGL,1XF9,245,43363.2
19-Oct-22,1020,4YSJ3INJW,KAAR,70,37942.8
19-Oct-22,1021,YSWP0AWSS,ODOI,150,15357.8
19-Oct-22,1022,69RTI0EXQ,KJ8C,250,28005.4
19-Oct-22,1023,09ABUJVBU,Q6W5,305,16261.2
19-Oct-22,1024,KCH2V44DK,FBRJ,25,37039.4
19-Oct-22,1025,F5F408FVC,RWD2,330,33877.5
19-Oct-22,1026,Y7WTYU9FW,5HS4,205,37491.1
19-Oct-22,1027,1XMJE97IH,T8YU,280,9485.7
19-Oct-22,1028,NHX18ERF4,XBXP,230,8130.6
19-Oct-22,1029,RLL8GHE3D,7BTI,0,34329.2
19-Oct-22,1030,BPB4NHEQG,8PH2,275,10699.8
19-Oct-22,1031,EQ1HOJJRO,H501,340,16364.4
19-Oct-22,1032,UFKMU7T0R,8IGR,490,9126.3
19-Oct-22,1033,DM81DGHK8,58U5,375,21399.6
19-Oct-22,1034,G0TPLUY5V,79HJ,200,2517.6
19-Oct-22,1035,SI6A7VGW5,RZOP,355,7867.5
19-Oct-22,1036,GC17VFD5F,T52S,240,11958.6
19-Oct-22,1037,UH40ZZD51,H889,205,30211.2
19-Oct-22,1038,JKCJO3E8P,K3L3,355,28008.3
19-Oct-22,1039,XU9YAIWOC,V3SS,405,23602.5
19-Oct-22,1040,REUKIBK6J,GJ0E,200,8683.5
19-Oct-22,1041,DPBKLDBID,9ITV,405,8683.5
19-Oct-22,1042,94WAZZTGS,2UT4,395,620.25
19-Oct-22,1043,SYZP4ENKX,EJUG,135,16540
19-Oct-22,1044,L3WB3L01C,SLXY,360,3928.25
19-Oct-22,1045,QJYNY1GP9,NWUK,460,14265.75
19-Oct-22,1046,JQ52I11BC,DL0K,235,20468.25
19-Oct-22,1047,FCXOEX6EW,LPJ2,260,15299.5
19-Oct-22,1048,SW9GZ9D9B,42QH,195,1606.5
19-Oct-22,1049,EX5W2KL5K,17SW,390,5194.35
19-Oct-22,1050,PUEEGVOCY,QDO7,50,4765.95
19-Oct-22,1051,5N1VS8J1S,9H3D,280,4819.5
19-Oct-22,1052,HTQLSLQL6,H3FN,175,535.5
19-Oct-22,1053,E4YNR721B,0W5B,255,4069.8
19-Oct-22,1054,A5DU1LK0R,PW2I,225,1927.8
19-Oct-22,1055,LPSETMCGZ,JSA6,335,5247.9
19-Oct-22,1056,J7PRHAZBQ,ZEAM,185,5301.45
19-Oct-22,1057,RRXSMZ9PP,IWTT,455,910.35
19-Oct-22,1058,WQI8KXHR1,J4YI,310,3266.55
19-Oct-22,1059,XU9YAIWOC,MQQY,60,112.05
19-Oct-22,1060,ODYOPK8O3,M8G6,125,1456.65
19-Oct-22,1061,R4535X7CH,WK7D,430,7731.45
19-Oct-22,1062,K6S6NOLMR,3Y0X,495,5826.6
19-Oct-22,1063,H5CUQWT9H,DOJ7,120,6386.85
19-Oct-22,1064,AB9S2HCQ7,6827,320,336.15
19-Oct-22,1065,K7XLQSOQO,O42D,435,10532.7
19-Oct-22,1066,DLQ67CJ1Y,JA38,35,4397.4
19-Oct-22,1067,XLXB4FU87,LIKM,75,8794.8
19-Oct-22,1068,1ZXLL1WF3,43EM,60,19299.7
19-Oct-22,1069,IJEUQLH59,EH63,120,20032.6
19-Oct-22,1070,BS35SRFTZ,1G7J,460,16123.8
19-Oct-22,1071,O3QUVGGPP,XNI0,360,12459.3
19-Oct-22,1072,MBXEFPNIH,7Z6M,310,9772
19-Oct-22,1073,GLTYVIBEL,DNR6,325,0
19-Oct-22,1074,P38RRUQJQ,8QNY,300,15879.5
19-Oct-22,1075,82DKW8Y6Q,YBH2,250,3175.9
19-Oct-22,1076,RO0JQUQFR,HU4Q,410,4641.7
19-Oct-22,1077,MBN893GIX,ROH4,270,5130.3
19-Oct-22,1078,UTB4GBKFC,MMET,30,3175.9
19-Oct-22,1079,97SCVT8D3,O6RF,20,16123.8
19-Oct-22,1080,7NJN3U98X,W0R2,355,2605.7
19-Oct-22,1081,J2UWHCNHK,6WOY,465,293.6
19-Oct-22,1082,8AGNU3OCX,6NWL,210,2128.6
19-Oct-22,1083,CWYM1B71A,6W9T,85,2972.7
19-Oct-22,1084,P5U91SDAD,57UX,150,2825.9
19-Oct-22,1085,ZKOJ13BK1,WKCR,360,660.6
19-Oct-22,1086,3COID06AN,YOK1,140,2899.3
19-Oct-22,1087,P08OVX8EC,2XW1,330,2972.7
19-Oct-22,1088,QVB1KS5ZL,6A80,160,3486.5
19-Oct-22,1089,YYMLZF0N3,Z4YO,330,3413.1
19-Oct-22,1090,M4VCTQL9N,TLUA,350,73.4
19-Oct-22,1091,MTBKAZ2CB,ICZD,25,2532.3
19-Oct-22,1092,JW4E65YAI,CD2T,115,1431.3
19-Oct-22,1093,O4XREQH0L,H1QB,410,1761.6
19-Oct-22,1094,YLG3JB6DR,114T,375,3192.9
19-Oct-22,1095,M37BCHMW4,LO26,50,2018.5
19-Oct-22,1096,95GZMWMU9,73SN,275,1394.6
19-Oct-22,1097,4IOXYRB6V,O06G,60,1077.3
19-Oct-22,1098,E15Y03JBK,6XU2,20,2274.3
19-Oct-22,1099,159F1YDBA,QT71,460,5805.45
19-Oct-22,1100,RE7KL18U0,SRI5,80,5745.6
19-Oct-22,1101,9SX1957MT,0QJQ,395,5027.4
19-Oct-22,1102,1HVUY0LDP,FXLH,440,1077.3
19-Oct-22,1103,3UOLA10JT,3DMA,150,3052.35
19-Oct-22,1104,GUOMF5J3J,WTVO,95,59.85
19-Oct-22,1105,SUXU9SCLZ,7U6Q,460,28533.6
19-Oct-22,1106,6WPS5T3JE,NUE3,335,25759.5
19-Oct-22,1107,M0S4EYFHT,4YOQ,50,3566.7
19-Oct-22,1108,WJ07J8VXU,MWQQ,5,22589.1
19-Oct-22,1109,F7TCA2IV9,5DE5,60,37648.5
19-Oct-22,1110,919BJEZR2,5MG7,265,396.3
19-Oct-22,1111,NH00U0NL3,IAE3,175,23778
19-Oct-22,1112,T2N7AXFXE,QI10,285,5548.2
